BRAND-NAME,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
360X T732C1 14838,73.8,0.12,73.8,0.01,0.01,0.01,0.97,0.01,0.11,0.01,0.36,0.38,1.16,0.01,0.01,0.76,0.22,0.62,0.01,0.01,0.01,73.8,0.01,73.8,0.01,0.01,0.01,0.01,0.01,73.8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16
360X T735C2 9329,73.5,0.1,73.5,0.1,0.1,0.16,0.84,0.1,0.37,0.1,0.32,0.25,2.42,0.1,0.1,1.02,0.57,0.65,,,,73.5,,73.5,,,,,,73.5,,,,,,,,,,,,,,,,,,,,,
360X T763C19 12000,77.04,0.1,77.04,0.1,,,,,,,,,,,,,,,,,,77.04,,77.04,,,,,,77.04,,,,,,,,,,,,,,,,,,,,,
Aniva T27 14882,0.38,26.7,0.38,0.1,,,,,,,,,,,,,,,,,,0.38,,0.38,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,
360X T796C1 8045,79.8,0.1,79.8,0.1,0.1,0.1,0.16,0.1,0.1,0.1,0.1,0.1,1.39,0.1,0.1,0.58,0.55,0.66,,,,79.8,,79.8,,,,,,79.8,,,,,,,,,,,,,,,,,,,,,
5:1 THCA-THC ORAL SPRAY 6043 GRAPE FLAVOR,1.11,4.8,1.11,0,,,,,,,,,,,,,,,,,,1.11,,1.11,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,
360X Transdermal Cream,0.241,0.01,0.241,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.241,,0.241,,,,,,0.241,,,,,,,,,,,,,,,,,,,,,
360XLP T502C23 4502,38.9,2.6,38.9,0.28,0.1,0.1,0.27,0.1,0.1,0.1,0.1,0.1,1.35,0.38,0.1,0.66,0.49,0.37,,,,38.9,,38.9,,,,,,38.9,,,,,,,,,,,,,,,,,,,,,
84011418-A T29 3973,0.7,28.2,0.7,0.1,0.1,0.1,0.5,0.1,0.4,0.1,0.1,0.1,0.2,1.1,0.1,0.1,0.1,0.1,,,,0.7,,0.7,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,
ACBD C465 8049,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
ACBD18:1 C25T1 10695,0.51,0.1,0.51,0.1,,,,,,,,,,,,,,,,,,0.51,,0.51,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,
ACBD18:1 C25T1 5568,0.46,0.1,0.46,0.1,,,,,,,,,,,,,,,,,,0.46,,0.46,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,
ACBD18:1 C25T1 6175,0.46,0.1,0.46,0.1,,,,,,,,,,,,,,,,,,0.46,,0.46,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,
ACBD18:1 C50T3 10696,0.51,0.1,0.51,0.1,,,,,,,,,,,,,,,,,,0.51,,0.51,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,
ACBD18:1 C50T3 5569,0.46,0.1,0.46,0.1,,,,,,,,,,,,,,,,,,0.46,,0.46,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,
ACBD18:1 C50T3 6176,0.46,0.1,0.46,0.1,,,,,,,,,,,,,,,,,,0.46,,0.46,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,
ACBD19:1 C881T46 8059,0.16,0.1,0.16,0.1,,,,,,,,,,,,,,,,,,0.16,,0.16,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,
ACBD23:1 C100T4 7046,0.77,0.1,0.77,0.1,,,,,,,,,,,,,,,,,,0.77,,0.77,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,
ACBD23:1 C25T1 8060,0.38,0.1,0.38,0.1,,,,,,,,,,,,,,,,,,0.38,,0.38,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,
ACBD23:1 C50T2 8071,0.38,0.1,0.38,0.1,,,,,,,,,,,,,,,,,,0.38,,0.38,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,
ACBD26:1 C899T34 7533,0.12,0.1,0.12,0.1,,,,,,,,,,,,,,,,,,0.12,,0.12,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,
ACBD27:1 C30T1 8898,0.35,0.1,0.35,0.1,,,,,,,,,,,,,,,,,,0.35,,0.35,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,
ACBD27:1 C50T2 8899,0.35,0.1,0.35,0.1,,,,,,,,,,,,,,,,,,0.35,,0.35,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,
ACBD2:1 C25T13 7050,4.59,0.31,4.59,0.1,,,,,,,,,,,,,,,,,,4.59,,4.59,,,,,,4.59,,,,,,,,,,,,,,,,,,,,,
ACBD2:1 C30T14 8867,3.99,0.26,3.99,0.1,,,,,,,,,,,,,,,,,,3.99,,3.99,,,,,,3.99,,,,,,,,,,,,,,,,,,,,,
ACBD2:1 C50T24 8868,3.99,0.26,3.99,0.1,,,,,,,,,,,,,,,,,,3.99,,3.99,,,,,,3.99,,,,,,,,,,,,,,,,,,,,,
ACBD2:1 C50T26 7051,4.59,0.31,4.59,0.1,,,,,,,,,,,,,,,,,,4.59,,4.59,,,,,,4.59,,,,,,,,,,,,,,,,,,,,,
AKENOCET T22 2086,0.4,21.5,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.7,,0.1,0.1,0.1,,,,0.4,,0.4,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,
ALMOND BUTTER,0.245,0.01,0.245,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.245,,0.245,,,,,,0.245,,,,,,,,,,,,,,,,,,,,,
AKENOCET,0.642,25.349,0.642,0.082,0.86,1.5,0.79,0.19,0.11,0.11,0.3,0.24,0.1,0.46,,0.1,0.1,,,,,0.642,,0.642,,,,,,0.642,,,,,,,,,,,,,,,,,,,,,
AMETHYST T67 I CW 2446,62.6,4.7,62.6,0.1,0.1,0.1,1.2,0.1,0.1,0.1,0.3,0.4,0.4,0.2,,2.1,0.5,,,,,62.6,,62.6,,,,,,62.6,,,,,,,,,,,,,,,,,,,,,
AKENOPURE T393 2570,49.3,29.3,49.3,0.2,0.1,0.1,0.9,0.1,0.1,0.1,0.4,0.4,1.1,1.3,,0.8,0.5,0.9,,,,49.3,,49.3,,,,,,49.3,,,,,,,,,,,,,,,,,,,,,
ALMONDBITESFT,0.1,0.04,0.1,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
ANIVA T30 4432,0.4,29.2,0.4,0.1,0.1,0.1,0.2,0.2,0.7,0.1,0.1,0.1,0.2,0.9,0.1,0.1,0.1,0.1,,,,0.4,,0.4,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,
ANIVAPURE T200 13550,80.2,0.69,80.2,0.1,0.09,0.51,1.82,0.17,0.46,0.1,0.59,1.32,2.67,0.05,0.1,2.13,0.62,0.1,0.1,0.1,0.1,80.2,0.1,80.2,0.1,0.1,0.1,0.1,0.1,80.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.04
Agate T19 H 2111,0.9,18.5,0.9,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.2,0.1,0.4,,0.1,0.1,,,,,0.9,,0.9,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,
Agriovex Flower SC T26 I 13410,0.16,25.36,0.16,0.09,,,,,,,,,,,,,,,,,,0.16,,0.16,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,
Agriovex Flower SC T29 I 11770,32.00%,2870.00%,32.00%,10.00%,,,,,,,,,,,,,,,,,,32.00%,,32.00%,,,,,,32.00%,,,,,,,,,,,,,,,,,,,,,
Agriovex Flower T26 I 13409,0.16,25.36,0.16,0.09,,,,,,,,,,,,,,,,,,0.16,,0.16,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,
Agriovex Flower T29 I 11769,32.00%,2870.00%,32.00%,10.00%,,,,,,,,,,,,,,,,,,32.00%,,32.00%,,,,,,32.00%,,,,,,,,,,,,,,,,,,,,,
Agriovex Pre-Rolls T26 I 14071,0.16,25.36,0.16,0.09,,,,,,,,,,,,,,,,,,0.16,,0.16,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,
